GT,Model_1,Model_2
1,0.19445882962195754,0.07390985679746334
1,1.0,0.9999923393890534
1,0.32472006890611543,0.43703692168477687
0,0.19445882962195754,0.07058021510909829
1,0.19445882962195754,0.9973386096229331
1,1.0,0.473246849555239
0,0.19445882962195754,0.07955035642526838
0,0.19445882962195754,0.06442601293757404
0,0.19445882962195754,0.14267300070390593
1,0.19445882962195754,0.08551985568122646
1,1.0,0.9946058764021697
0,0.19445882962195754,0.1567358852717728
0,0.32472006890611543,0.2701792310810718
1,0.19445882962195754,0.5277997923832015
0,0.19445882962195754,0.08042674581825944
0,0.19445882962195754,0.05733663738957209
1,1.0,0.9998695721797872
0,0.19445882962195754,0.06481918564005977
0,0.19445882962195754,0.06853138844410639
1,1.0,0.9999989733152445
1,0.19445882962195754,0.18002756734172926
0,0.19445882962195754,0.37812486850110805
0,0.32472006890611543,0.10140006532025611
1,0.19445882962195754,0.21828778633537108
0,0.19445882962195754,0.05779406008520242
0,0.19445882962195754,0.06177934537210094
1,0.9981185324553151,0.9841817719178908
0,0.19445882962195754,0.059632413446366474
1,0.19445882962195754,0.18986256339723837
1,1.0,0.6028435883285389
1,0.9981185324553151,0.7676762593258801
1,0.32472006890611543,0.5325088253963011
0,0.19445882962195754,0.06090047224070085
0,0.19445882962195754,0.07333816576605891
0,0.19445882962195754,0.05969525916369304
1,0.649171270718232,0.8327549909570652
1,1.0,0.6787049733092815
0,0.32472006890611543,0.2919975120613629
1,1.0,0.9986242001955267
0,0.19445882962195754,0.11849488191760185
1,0.649171270718232,0.6984168095244704
1,0.19445882962195754,0.19106329684368478
0,0.19445882962195754,0.5065366393181857
1,0.32472006890611543,0.22409936808563025
0,0.19445882962195754,0.0690910045529666
0,0.19445882962195754,0.8812778373135417
0,0.19445882962195754,0.07803977374211568
1,0.19445882962195754,0.08836917600256813
0,0.19445882962195754,0.1221111138141897
0,0.19445882962195754,0.8476814677193647
0,0.19445882962195754,0.06751042279217141
1,1.0,0.9999890268297782
1,0.9981185324553151,0.9976077507482537
1,1.0,0.9083654245010251
0,0.19445882962195754,0.12572856814461633
1,0.19445882962195754,0.2844955126651886
0,0.19445882962195754,0.09113680523764263
1,1.0,0.6297138807138922
1,1.0,0.6411141912310027
0,0.19445882962195754,0.06359057472415529
0,0.19445882962195754,0.05778455787169644
0,0.19445882962195754,0.07627860484161289
0,0.19445882962195754,0.09278075555651366
1,1.0,0.9394366440778414
1,1.0,0.9997877806425954
0,0.19445882962195754,0.16574883778631563
1,1.0,0.9720778532194939
0,0.19445882962195754,0.7967137291347992
1,0.649171270718232,0.8652735070918092
1,0.19445882962195754,0.5663114418144122
1,0.32472006890611543,0.44911514414378867
1,0.19445882962195754,0.9988051154223658
1,1.0,0.548171756452089
0,0.19445882962195754,0.5224086107829073
0,0.19445882962195754,0.9217205275787007
0,0.19445882962195754,0.4229768675824369
1,1.0,0.8441841134165213
